Place,Language,Devs
Córdoba,C,4
Córdoba,Matlab,2
Córdoba,HTML,8
Córdoba,Makefile,3
Córdoba,C++,6
Córdoba,R,3
Córdoba,Shell,5
Córdoba,Processing,2
Córdoba,PHP,7
Córdoba,Python,18
Córdoba,ApacheConf,2
Córdoba,C#,3
Córdoba,Arduino,1
Córdoba,Ruby,5
Córdoba,CoffeeScript,1
Córdoba,Java,16
Córdoba,JavaScript,29
Córdoba,Objective-C,2
Córdoba,TeX,1
Córdoba,CSS,12
Ourense,JavaScript,1
Ourense,C++,1
Ourense,CSS,3
Ourense,Java,1
Ourense,PHP,1
Ourense,C,1
Cuenca,PHP,1
Cuenca,Java,1
Cuenca,C#,1
Cuenca,CSS,1
Orense,Java,4
Orense,HTML,3
Orense,JavaScript,7
Orense,Awk,1
Orense,C++,1
Orense,XSLT,1
Orense,CSS,5
Orense,C#,1
Orense,Scala,1
Orense,PHP,3
Orense,Shell,1
Donostia,CSS,7
Donostia,JavaScript,14
Donostia,API Blueprint,1
Donostia,Mathematica,1
Donostia,Java,9
Donostia,CMake,1
Donostia,CoffeeScript,1
Donostia,Arduino,1
Donostia,C#,1
Donostia,Python,5
Donostia,Shell,3
Donostia,PHP,5
Donostia,R,1
Donostia,C++,2
Donostia,HTML,3
Donostia,Makefile,2
Donostia,Perl,1
Donostia,C,2
Pontevedra,Makefile,1
Pontevedra,HTML,3
Pontevedra,Java,12
Pontevedra,C++,2
Pontevedra,JavaScript,31
Pontevedra,Ruby,1
Pontevedra,C,1
Pontevedra,Haskell,1
Pontevedra,Eagle,1
Pontevedra,C#,3
Pontevedra,CSS,11
Pontevedra,Python,15
Pontevedra,Shell,3
Pontevedra,PHP,6
España,Elixir,1
España,Alloy,1
España,VHDL,1
España,Clojure,4
España,Scala,12
España,ASP,3
España,Logos,1
España,Batchfile,3
España,Perl,14
España,QMake,2
España,Limbo,1
España,Scheme,1
España,OpenEdge ABL,1
España,ApacheConf,9
España,Shell,171
España,PLSQL,3
España,RobotFramework,1
España,SQF,1
España,CMake,14
España,CoffeeScript,8
España,JavaScript,476
España,NSIS,1
España,Coq,1
España,Groovy,10
España,GLSL,1
España,Eagle,3
España,M,1
España,Go,10
España,Matlab,7
España,C,80
España,Visual Basic,14
España,Makefile,36
España,FORTRAN,2
España,VimL,1
España,OCaml,1
España,Inno Setup,1
España,XML,7
España,Arduino,23
España,C#,80
España,Perl6,1
España,Java,385
España,Elm,1
España,Pascal,4
España,Assembly,4
España,Swift,11
España,Objective-C,40
España,TeX,5
España,Haskell,4
España,TypeScript,1
España,C++,88
España,Racket,1
España,HTML,145
España,AutoIt,1
España,Prolog,1
España,Brainfuck,1
España,Python,246
España,PHP,193
España,Kotlin,1
España,F#,2
España,Erlang,5
España,Mako,1
España,ActionScript,2
España,UnrealScript,1
España,Ruby,111
España,Lua,9
España,CSS,248
España,SourcePawn,1
España,PowerShell,3
España,Web Ontology Language,2
España,Processing,4
España,Dart,2
España,R,106
España,Haxe,3
España,Groff,2
España,Puppet,3
Ávila,PHP,1
Ávila,Java,3
Ávila,HTML,1
Ávila,JavaScript,1
Barcelona,C,42
Barcelona,Matlab,3
Barcelona,Rust,1
Barcelona,Go,16
Barcelona,Visual Basic,1
Barcelona,Makefile,26
Barcelona,FORTRAN,1
Barcelona,VimL,6
Barcelona,C#,39
Barcelona,Arduino,12
Barcelona,XML,1
Barcelona,NetLogo,1
Barcelona,CoffeeScript,5
Barcelona,CMake,4
Barcelona,Groovy,6
Barcelona,NSIS,1
Barcelona,JavaScript,432
Barcelona,Common Lisp,1
Barcelona,Cucumber,1
Barcelona,Game Maker Language,1
Barcelona,Perl,20
Barcelona,QMake,2
Barcelona,ApacheConf,7
Barcelona,Shell,123
Barcelona,Frege,1
Barcelona,Emacs Lisp,5
Barcelona,Clojure,8
Barcelona,Pure Data,2
Barcelona,Awk,1
Barcelona,Scala,9
Barcelona,OpenSCAD,1
Barcelona,ASP,1
Barcelona,Batchfile,1
Barcelona,PowerShell,2
Barcelona,GAP,1
Barcelona,R,67
Barcelona,Haxe,2
Barcelona,Processing,6
Barcelona,Nix,1
Barcelona,Rebol,1
Barcelona,Puppet,5
Barcelona,ActionScript,3
Barcelona,Ruby,178
Barcelona,SuperCollider,1
Barcelona,Handlebars,1
Barcelona,Lua,1
Barcelona,CSS,163
Barcelona,Ceylon,1
Barcelona,DIGITAL Command Language,1
Barcelona,Haskell,3
Barcelona,HTML,97
Barcelona,C++,89
Barcelona,Tcl,1
Barcelona,Python,195
Barcelona,PHP,237
Barcelona,Erlang,3
Barcelona,Julia,3
Barcelona,Max,2
Barcelona,Java,215
Barcelona,Assembly,1
Barcelona,SaltStack,1
Barcelona,Pascal,1
Barcelona,Swift,13
Barcelona,Objective-C,56
Barcelona,TeX,8
Santander,JavaScript,2
Santander,PHP,1
Málaga,Puppet,1
Málaga,Erlang,1
Málaga,C#,11
Málaga,Arduino,3
Málaga,ApacheConf,2
Málaga,Shell,14
Málaga,Python,27
Málaga,PHP,18
Málaga,R,9
Málaga,VimL,1
Málaga,C++,5
Málaga,HTML,5
Málaga,Perl,2
Málaga,Matlab,1
Málaga,Rust,1
Málaga,C,5
Málaga,Cucumber,1
Málaga,CSS,17
Málaga,Scala,2
Málaga,Objective-C,1
Málaga,JavaScript,28
Málaga,Java,47
Málaga,ColdFusion,1
Málaga,CMake,1
Málaga,Ruby,6
Burgos,C++,1
Burgos,JavaScript,1
Burgos,Java,5
Burgos,Shell,4
Burgos,PHP,1
Burgos,Python,1
Burgos,Objective-C,1
Burgos,CSS,3
Ciudad Real,C,1
Ciudad Real,Ruby,3
Ciudad Real,HTML,2
Ciudad Real,Java,4
Ciudad Real,C++,2
Ciudad Real,JavaScript,5
Ciudad Real,Shell,3
Ciudad Real,PHP,3
Ciudad Real,Python,2
Ciudad Real,CSS,1
Huelva,CSS,1
Huelva,Shell,2
Huelva,PHP,3
Huelva,OpenSCAD,1
Huelva,JavaScript,4
Huelva,HTML,3
Huelva,Java,3
Huelva,Perl,1
Huelva,Ruby,2
Alicante,Matlab,2
Alicante,C,5
Alicante,HTML,10
Alicante,Makefile,5
Alicante,Scheme,1
Alicante,C++,5
Alicante,R,2
Alicante,ApacheConf,1
Alicante,Processing,1
Alicante,Shell,6
Alicante,PHP,14
Alicante,Python,8
Alicante,Arduino,1
Alicante,C#,9
Alicante,ActionScript,1
Alicante,CoffeeScript,1
Alicante,Ruby,3
Alicante,Groovy,1
Alicante,Java,31
Alicante,JavaScript,29
Alicante,Scala,1
Alicante,xBase,1
Alicante,Objective-C,1
Alicante,OpenSCAD,1
Alicante,CSS,13
Alicante,TeX,1
Navarra,Java,4
Navarra,JavaScript,7
Navarra,C++,3
Navarra,Matlab,2
Navarra,Ruby,5
Navarra,Perl,1
Navarra,CSS,5
Navarra,TeX,2
Navarra,C#,1
Navarra,R,2
Navarra,OpenSCAD,1
Navarra,Shell,3
Navarra,PHP,9
Navarra,Python,4
Zamora,Ruby,1
Zamora,C,1
Zamora,C#,1
Zamora,Java,3
Granada,CMake,2
Granada,Ruby,12
Granada,ActionScript,1
Granada,JavaScript,61
Granada,Groovy,1
Granada,Java,67
Granada,Lua,2
Granada,Objective-C,2
Granada,Swift,1
Granada,Scala,2
Granada,CSS,34
Granada,TeX,11
Granada,TypeScript,1
Granada,QMake,2
Granada,Perl,3
Granada,Haskell,1
Granada,C,8
Granada,Matlab,4
Granada,C++,22
Granada,HTML,21
Granada,Makefile,7
Granada,Python,44
Granada,PHP,25
Granada,Shell,43
Granada,Prolog,1
Granada,R,11
Granada,C#,10
Granada,Smalltalk,1
León,Assembly,1
León,Shell,2
León,PHP,2
León,Python,5
León,SQLPL,1
León,CSS,3
León,C#,1
León,C,3
León,Perl,1
León,CMake,1
León,HTML,1
León,Java,8
León,JavaScript,2
Gerona,R,4
Gerona,PHP,4
Gerona,Python,2
Gerona,Shell,4
Gerona,C#,2
Gerona,CSS,6
Gerona,C,2
Gerona,Ruby,6
Gerona,ActionScript,1
Gerona,Perl,1
Gerona,Makefile,1
Gerona,Java,5
Gerona,HTML,4
Gerona,C++,1
Gerona,JavaScript,13
Jaén,JavaScript,4
Jaén,Groovy,1
Jaén,HTML,1
Jaén,Java,13
Jaén,Ruby,5
Jaén,C,2
Jaén,TeX,1
Jaén,CSS,6
Jaén,C#,1
Jaén,PostScript,1
Jaén,Python,3
Jaén,PHP,7
Jaén,Shell,2
Jaén,R,1
Toledo,CSS,5
Toledo,Objective-C,1
Toledo,R,1
Toledo,PHP,2
Toledo,Shell,2
Toledo,Python,3
Toledo,Java,5
Toledo,HTML,2
Toledo,JavaScript,8
Toledo,C,1
Toledo,Ruby,1
Valencia,CSS,30
Valencia,Swift,2
Valencia,Objective-C,8
Valencia,Lua,1
Valencia,Java,83
Valencia,NSIS,1
Valencia,JavaScript,90
Valencia,KiCad,1
Valencia,ActionScript,1
Valencia,Ruby,28
Valencia,CMake,1
Valencia,Cuda,1
Valencia,C#,14
Valencia,XML,1
Valencia,R,12
Valencia,VimL,3
Valencia,Prolog,1
Valencia,ApacheConf,4
Valencia,Shell,13
Valencia,Python,28
Valencia,PHP,39
Valencia,Makefile,1
Valencia,HTML,27
Valencia,Scheme,1
Valencia,C++,10
Valencia,Matlab,2
Valencia,Go,1
Valencia,Rust,1
Valencia,C,8
Valencia,Perl,2
Valencia,Haskell,3
Cáceres,Java,3
Cáceres,JavaScript,2
Cáceres,Objective-C,1
Cáceres,Shell,1
Cáceres,PHP,6
Cáceres,Python,4
Cáceres,CSS,3
Cáceres,Arduino,1
Las Palmas,Pascal,1
Las Palmas,Objective-C,4
Las Palmas,TeX,1
Las Palmas,CSS,11
Las Palmas,Ruby,13
Las Palmas,Java,23
Las Palmas,JavaScript,17
Las Palmas,R,1
Las Palmas,Python,8
Las Palmas,Shell,5
Las Palmas,PHP,8
Las Palmas,Arduino,1
Las Palmas,C#,1
Las Palmas,Puppet,1
Las Palmas,C,3
Las Palmas,Rust,1
Las Palmas,HTML,6
Las Palmas,C++,4
Bilbao,D,1
Bilbao,Arduino,2
Bilbao,C#,3
Bilbao,Shell,11
Bilbao,Python,18
Bilbao,PHP,13
Bilbao,R,10
Bilbao,C++,3
Bilbao,HTML,10
Bilbao,Modelica,1
Bilbao,Perl,1
Bilbao,C,4
Bilbao,Go,1
Bilbao,Matlab,2
Bilbao,GLSL,1
Bilbao,TeX,1
Bilbao,CSS,18
Bilbao,Swift,1
Bilbao,Objective-C,1
Bilbao,Pascal,1
Bilbao,JavaScript,36
Bilbao,Java,37
Bilbao,CMake,3
Bilbao,Emacs Lisp,1
Bilbao,Ruby,8
Bilbao,CoffeeScript,1
Murcia,Shell,3
Murcia,PHP,12
Murcia,Python,9
Murcia,R,4
Murcia,Arduino,2
Murcia,C#,4
Murcia,QMake,1
Murcia,Matlab,1
Murcia,Go,1
Murcia,C++,2
Murcia,Makefile,1
Murcia,HTML,6
Murcia,Scala,1
Murcia,Pascal,1
Murcia,Swift,1
Murcia,CSS,13
Murcia,Emacs Lisp,1
Murcia,Ruby,8
Murcia,JavaScript,25
Murcia,Java,18
Asturias,Objective-C,3
Asturias,Scala,2
Asturias,CSS,13
Asturias,CMake,1
Asturias,Ruby,11
Asturias,CoffeeScript,1
Asturias,JavaScript,28
Asturias,Java,19
Asturias,Groovy,1
Asturias,Perl6,1
Asturias,PHP,5
Asturias,Python,11
Asturias,Shell,10
Asturias,ApacheConf,1
Asturias,R,3
Asturias,XML,1
Asturias,Arduino,2
Asturias,C#,4
Asturias,Perl,1
Asturias,Matlab,1
Asturias,C,2
Asturias,C++,3
Asturias,HTML,9
Asturias,PLpgSQL,1
Asturias,Makefile,2
Palencia,Shell,2
Palencia,OpenSCAD,1
Palencia,Ruby,1
Palencia,JavaScript,1
Palencia,Java,3
Madrid,CMake,5
Madrid,ActionScript,4
Madrid,CoffeeScript,11
Madrid,Ruby,149
Madrid,JavaScript,539
Madrid,Groovy,18
Madrid,Common Lisp,1
Madrid,Lua,2
Madrid,Zephir,1
Madrid,Cucumber,1
Madrid,CSS,217
Madrid,M,1
Madrid,PowerShell,2
Madrid,Matlab,9
Madrid,Go,18
Madrid,XSLT,3
Madrid,C,28
Madrid,Visual Basic,2
Madrid,Makefile,15
Madrid,FORTRAN,1
Madrid,Web Ontology Language,5
Madrid,Processing,2
Madrid,VimL,6
Madrid,R,119
Madrid,XML,3
Madrid,Puppet,7
Madrid,Rebol,1
Madrid,C#,46
Madrid,Arduino,17
Madrid,Emacs Lisp,3
Madrid,VHDL,1
Madrid,Clojure,2
Madrid,Perl6,1
Madrid,Java,341
Madrid,Pascal,2
Madrid,Assembly,1
Madrid,Scala,14
Madrid,Objective-C,65
Madrid,OpenSCAD,2
Madrid,ASP,1
Madrid,Swift,11
Madrid,TeX,9
Madrid,Batchfile,2
Madrid,Haskell,4
Madrid,Perl,10
Madrid,QMake,1
Madrid,Ceylon,1
Madrid,Scheme,1
Madrid,C++,62
Madrid,HTML,109
Madrid,ANTLR,1
Madrid,Prolog,1
Madrid,ApacheConf,8
Madrid,Python,209
Madrid,PHP,141
Madrid,Shell,117
Madrid,Kotlin,1
Madrid,D,1
Madrid,Erlang,1
Andalucía,Python,1
Andalucía,C++,2
Andalucía,JavaScript,1
Andalucía,Java,2
Andalucía,CSS,1
Almería,Ruby,3
Almería,CMake,1
Almería,Java,13
Almería,JavaScript,11
Almería,ASP,1
Almería,CSS,8
Almería,Go,1
Almería,C,1
Almería,Perl,1
Almería,HTML,6
Almería,XQuery,1
Almería,C++,1
Almería,Shell,1
Almería,Python,9
Almería,PHP,5
Almería,C#,3
Sevilla,Go,1
Sevilla,Matlab,1
Sevilla,C,8
Sevilla,FORTRAN,1
Sevilla,Makefile,2
Sevilla,VimL,2
Sevilla,R,15
Sevilla,NetLogo,1
Sevilla,XML,1
Sevilla,Arduino,2
Sevilla,C#,12
Sevilla,Rebol,1
Sevilla,CMake,2
Sevilla,Ruby,25
Sevilla,CoffeeScript,1
Sevilla,JavaScript,69
Sevilla,Lua,1
Sevilla,CSS,31
Sevilla,QMake,1
Sevilla,Perl,1
Sevilla,Haskell,1
Sevilla,C++,9
Sevilla,Gosu,1
Sevilla,HTML,22
Sevilla,PHP,31
Sevilla,Shell,14
Sevilla,Python,57
Sevilla,Prolog,1
Sevilla,Gettext Catalog,1
Sevilla,VHDL,1
Sevilla,Java,63
Sevilla,Objective-C,10
Sevilla,Swift,1
Sevilla,Batchfile,1
Coruña,PHP,11
Coruña,Python,25
Coruña,Shell,11
Coruña,ApacheConf,2
Coruña,R,5
Coruña,C#,3
Coruña,Erlang,4
Coruña,TypeScript,1
Coruña,Haskell,1
Coruña,Perl,1
Coruña,Go,2
Coruña,Matlab,1
Coruña,C,6
Coruña,C++,3
Coruña,Scheme,1
Coruña,FORTRAN,1
Coruña,Makefile,1
Coruña,HTML,9
Coruña,Visual Basic,1
Coruña,Objective-C,3
Coruña,OpenSCAD,1
Coruña,CSS,7
Coruña,CMake,2
Coruña,Ruby,9
Coruña,JavaScript,26
Coruña,Java,27
Albacete,Shell,1
Albacete,Python,2
Albacete,R,1
Albacete,C,2
Albacete,JavaScript,4
Albacete,Makefile,1
Albacete,Java,3
Albacete,HTML,3
Tarragona,Haskell,1
Tarragona,CMake,1
Tarragona,Ruby,3
Tarragona,C,1
Tarragona,JavaScript,9
Tarragona,Makefile,1
Tarragona,HTML,2
Tarragona,Groovy,2
Tarragona,Java,10
Tarragona,Python,7
Tarragona,PHP,4
Tarragona,Shell,3
Tarragona,R,1
Tarragona,Objective-C,1
Tarragona,CSS,5
Baleares,CMake,1
Baleares,Java,13
Baleares,JavaScript,24
Baleares,Objective-C,1
Baleares,Swift,1
Baleares,CSS,8
Baleares,C,2
Baleares,Go,1
Baleares,Makefile,2
Baleares,HTML,9
Baleares,C++,2
Baleares,VimL,1
Baleares,Smarty,1
Baleares,Haxe,1
Baleares,ApacheConf,1
Baleares,Shell,5
Baleares,PHP,11
Baleares,Python,22
Baleares,C#,3
Zaragoza,Tcl,1
Zaragoza,R,2
Zaragoza,ApacheConf,1
Zaragoza,PHP,19
Zaragoza,Shell,11
Zaragoza,Python,21
Zaragoza,HTML,4
Zaragoza,Makefile,5
Zaragoza,C++,8
Zaragoza,Matlab,2
Zaragoza,XSLT,1
Zaragoza,C,7
Zaragoza,Perl,2
Zaragoza,TeX,1
Zaragoza,CSS,15
Zaragoza,Batchfile,1
Zaragoza,Game Maker Language,1
Zaragoza,GLSL,1
Zaragoza,Scala,1
Zaragoza,Assembly,1
Zaragoza,Objective-C,3
Zaragoza,OpenSCAD,1
Zaragoza,Java,34
Zaragoza,JavaScript,32
Zaragoza,NSIS,1
Zaragoza,Ruby,12
Zaragoza,CMake,3
Extremadura,CSS,1
Extremadura,Python,1
Álava,C++,2
Álava,JavaScript,6
Álava,HTML,1
Álava,Java,5
Álava,C,2
Álava,Arduino,1
Álava,CSS,4
Álava,Shell,2
Álava,PHP,3
Álava,Python,2
Álava,R,3
Álava,PLSQL,1
Cádiz,PHP,8
Cádiz,Shell,8
Cádiz,Python,9
Cádiz,R,2
Cádiz,C#,2
Cádiz,Arduino,2
Cádiz,C,3
Cádiz,C++,3
Cádiz,Racket,1
Cádiz,HTML,4
Cádiz,Swift,3
Cádiz,Objective-C,2
Cádiz,CSS,11
Cádiz,Elixir,1
Cádiz,Ruby,4
Cádiz,JavaScript,18
Cádiz,Java,22
Ceuta,C#,1
Tenerife,C,1
Tenerife,Go,1
Tenerife,C++,8
Tenerife,Makefile,1
Tenerife,HTML,6
Tenerife,ApacheConf,1
Tenerife,Shell,5
Tenerife,PHP,8
Tenerife,Python,7
Tenerife,R,2
Tenerife,C#,1
Tenerife,Arduino,1
Tenerife,CoffeeScript,1
Tenerife,Ruby,7
Tenerife,JavaScript,11
Tenerife,Java,7
Tenerife,Objective-C,1
Tenerife,ASP,1
Tenerife,CSS,16
Soria,Java,1
Soria,JavaScript,1
Soria,Swift,1
Soria,PHP,1
Valladolid,C#,1
Valladolid,Arduino,2
Valladolid,R,1
Valladolid,Kotlin,1
Valladolid,PHP,5
Valladolid,Shell,4
Valladolid,Python,16
Valladolid,HTML,3
Valladolid,C,1
Valladolid,Perl,1
Valladolid,CSS,2
Valladolid,Assembly,1
Valladolid,Objective-C,1
Valladolid,Swift,2
Valladolid,Lua,1
Valladolid,Perl6,1
Valladolid,Java,11
Valladolid,Groovy,1
Valladolid,JavaScript,14
Valladolid,Ruby,1
Cantabria,Batchfile,2
Cantabria,CSS,4
Cantabria,Java,6
Cantabria,JavaScript,6
Cantabria,C#,1
Cantabria,R,1
Cantabria,Shell,3
Cantabria,PHP,3
Cantabria,Python,7
Cantabria,AutoIt,1
Cantabria,HTML,3
Cantabria,Makefile,1
Cantabria,Visual Basic,1
Cantabria,C++,2
Cantabria,C,4
Cantabria,PowerShell,1
Cantabria,TypeScript,1
Cantabria,Haskell,1
Salamanca,Makefile,1
Salamanca,Mathematica,1
Salamanca,HTML,4
Salamanca,JavaScript,10
Salamanca,C,2
Salamanca,Ruby,1
Salamanca,Stata,1
Salamanca,CSS,6
Salamanca,R,1
Salamanca,Objective-C,2
Salamanca,Shell,1
Salamanca,Python,3
Salamanca,PHP,4
Castellón,C#,1
Castellón,CSS,1
Castellón,Objective-C,1
Castellón,Python,1
Castellón,PHP,1
Castellón,Shell,1
Castellón,HTML,2
Castellón,Java,6
Castellón,C++,3
Castellón,JavaScript,3
Castellón,Ruby,1
Castellón,Go,1
Castellón,ActionScript,1
Castellón,Haskell,1
Galicia,Objective-C,1
Galicia,AutoIt,1
Galicia,Python,10
Galicia,Lua,1
Galicia,Shell,6
Galicia,PHP,8
Galicia,CSS,11
Galicia,Erlang,1
Galicia,Ruby,3
Galicia,C,2
Galicia,Makefile,1
Galicia,HTML,5
Galicia,Java,13
Galicia,JavaScript,16
Galicia,C++,2
Huesca,PHP,1
Huesca,Python,1
Huesca,R,2
Huesca,JavaScript,3
Huesca,C#,1
Huesca,Java,1
Rioja,Shell,2
Rioja,Python,2
Rioja,PHP,1
Rioja,C#,1
Rioja,CSS,2
Rioja,Perl,1
Rioja,Haskell,1
Rioja,C,1
Rioja,Ruby,3
Rioja,C++,1
Rioja,JavaScript,3
Rioja,HTML,2
Rioja,Java,2
Euskadi,Arduino,1
Euskadi,CSS,3
Euskadi,Shell,4
Euskadi,PHP,2
Euskadi,Python,1
Euskadi,Objective-C,1
Euskadi,Haxe,1
Euskadi,VimL,1
Euskadi,R,1
Euskadi,JavaScript,8
Euskadi,Java,2
Euskadi,HTML,2
Euskadi,Dylan,1
Euskadi,Ruby,1
Teruel,CSS,2
Teruel,HTML,1
Teruel,JavaScript,1
Teruel,C,1
Teruel,Python,1
Badajoz,Objective-C,2
Badajoz,Batchfile,1
Badajoz,CSS,4
Badajoz,ActionScript,1
Badajoz,Java,4
Badajoz,JavaScript,9
Badajoz,R,1
Badajoz,PHP,3
Badajoz,Shell,2
Badajoz,Python,4
Badajoz,C#,2
Badajoz,Arduino,1
Badajoz,Matlab,1
Badajoz,HTML,1
Badajoz,Visual Basic,1
Badajoz,C++,2
Lugo,R,1
Lugo,ApacheConf,1
Lugo,Python,4
Lugo,PHP,2
Lugo,CSS,1
Lugo,Ruby,1
Lugo,C,1
Lugo,Java,2
Lugo,JavaScript,1
Catalunya,Java,7
Catalunya,JavaScript,16
Catalunya,Ruby,5
Catalunya,Emacs Lisp,1
Catalunya,CSS,9
Catalunya,Pascal,1
Catalunya,Lua,1
Catalunya,HTML,10
Catalunya,Makefile,2
Catalunya,C++,12
Catalunya,Matlab,1
Catalunya,C,3
Catalunya,Go,1
Catalunya,Haskell,1
Catalunya,C#,3
Catalunya,Arduino,1
Catalunya,R,6
Catalunya,ApacheConf,1
Catalunya,PHP,11
Catalunya,Shell,6
Catalunya,Python,12
Lleida,PHP,4
Lleida,Shell,3
Lleida,Python,10
Lleida,Objective-C,4
Lleida,CSS,2
Lleida,C,2
Lleida,Ruby,2
Lleida,C++,1
Lleida,JavaScript,7
Lleida,Java,7
Lleida,HTML,2
Lleida,Clojure,1
Lleida,Visual Basic,1
Canarias,Ruby,7
Canarias,Groovy,2
Canarias,Java,8
Canarias,JavaScript,9
Canarias,Objective-C,1
Canarias,Swift,1
Canarias,CSS,3
Canarias,C,3
Canarias,Makefile,2
Canarias,HTML,1
Canarias,C++,3
Canarias,R,2
Canarias,Shell,1
Canarias,Python,8
Canarias,PHP,2
Canarias,C#,2
Canarias,Puppet,1
Segovia,CSS,1
Segovia,JavaScript,3
Segovia,Shell,1
Segovia,Python,3
Segovia,PHP,1
